ID,Obec,VoliËi,Ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
565423,BdÌn,51,34,34,1,0,0,7,0,1,1,1,0,0,0,0,3,0,0,1,15,0,0,0,0,0,0,0,4,0
541672,Branov,170,120,119,10,1,0,14,0,0,23,0,1,1,0,0,13,0,0,2,40,0,0,5,0,1,0,0,7,1
565041,B¯eûany,106,71,69,6,0,0,4,1,4,12,0,1,1,0,0,9,0,0,2,20,0,0,0,0,0,2,0,6,1
541699,»ist·,724,388,387,42,0,0,33,0,26,67,5,7,3,0,0,30,0,0,9,114,0,0,18,0,0,1,0,29,3
565181,DÏkov,160,63,63,7,2,0,7,0,5,14,2,0,0,0,1,3,0,0,3,10,0,0,2,0,0,1,0,6,0
529711,Drahouö,64,41,41,2,0,0,1,0,8,7,0,0,0,1,0,2,0,0,0,17,0,0,1,0,0,0,0,2,0
541729,Ho¯esedly,331,183,183,10,0,0,14,0,9,40,4,1,5,0,0,7,0,0,2,63,0,1,2,0,0,0,0,22,3
541737,Ho¯oviËky,385,170,168,9,2,0,20,0,2,20,0,3,0,0,1,7,0,3,3,77,0,1,1,0,1,2,0,16,0
565202,Hracholusky,66,49,49,5,0,0,2,0,4,5,2,0,0,0,0,11,0,0,2,12,0,0,1,0,0,0,0,5,0
541761,H¯ebeËnÌky,220,153,152,18,0,0,6,1,12,30,2,1,2,0,0,6,0,1,6,55,0,0,1,1,1,0,0,9,0
541770,H¯edle,464,276,275,25,0,0,26,0,17,45,4,1,1,0,0,19,0,0,5,98,0,1,3,0,2,2,1,25,0
565334,Hvozd,133,77,75,1,0,0,5,0,4,21,0,0,1,0,0,5,0,0,5,26,0,0,1,0,1,1,0,4,0
541818,Chr·öùany,532,306,304,22,0,0,25,0,18,31,1,1,3,0,0,25,2,2,12,118,0,1,3,0,0,0,2,38,0
565270,Janov,109,87,87,14,0,0,2,0,9,9,0,0,0,0,0,8,0,0,0,24,0,0,1,0,1,0,0,18,1
541834,Jesenice,1†321,723,722,60,1,2,70,1,44,87,11,4,3,2,0,49,1,0,36,232,0,2,11,0,3,1,0,98,4
565440,Kalivody,81,53,53,8,0,0,6,0,7,4,0,0,0,0,0,2,0,0,2,19,0,0,1,0,0,0,0,4,0
565288,Karlova Ves,102,78,77,5,0,0,4,0,12,18,1,1,0,0,0,10,0,0,0,19,0,0,1,0,0,0,0,6,0
541877,KnÏûeves,800,445,445,42,0,0,44,0,13,42,9,7,2,0,0,22,2,0,9,169,0,1,8,0,5,3,1,65,1
565199,Koleöov,111,55,52,4,0,0,2,0,0,4,1,0,0,0,0,2,0,0,1,32,0,0,0,0,0,0,0,6,0
541893,Koleöovice,686,383,381,24,0,0,45,0,18,45,0,5,0,0,0,22,0,0,23,137,0,2,9,1,4,3,2,40,1
541907,Kounov,410,191,189,14,0,0,20,0,2,40,0,0,1,0,0,21,0,0,5,65,0,0,2,2,0,0,0,17,0
565385,Kozojedy,74,61,61,6,0,0,2,0,8,9,0,0,1,0,0,3,0,0,5,24,0,0,2,0,0,0,0,1,0
565351,Krakov,101,71,71,7,0,0,20,0,1,5,2,2,0,0,0,0,0,0,2,19,0,0,4,0,0,0,0,9,0
565369,Krakovec,56,33,33,6,0,0,4,0,1,3,0,0,2,0,0,1,0,0,2,11,0,0,0,0,0,0,0,2,1
541940,KrouËov·,208,137,136,8,0,0,7,0,50,12,0,0,0,0,0,3,0,0,2,41,0,0,1,0,0,0,1,11,0
598500,Krty,106,70,70,6,0,0,2,0,1,11,1,0,2,0,0,7,0,1,7,27,0,0,1,0,0,0,0,4,0
541966,Krup·,376,194,194,9,1,0,8,0,11,25,3,2,2,0,0,13,0,1,7,84,0,0,5,0,1,0,0,22,0
541974,Kruöovice,485,307,306,30,0,0,24,0,44,35,1,2,10,1,0,22,0,2,15,74,0,0,4,0,1,1,3,36,1
